pmid,cid,chem,outcome
34214916,8344,Dimethoxyethyl phthalate,Cell damage
29450129,6124,dimethyl nitrosamine,"Reproductive, Thyroid"
34267309,13134,dimethyl phosphate,Cognitive-Behavioral
36150437,13134,Dimethyl phosphate,Reproductive
35688051,8554,Dimethyl phthalate,Cancer
35598668,8554,Dimethyl phthalate,Cell damage
31975012,8554,dimethyl phthalate,"Hepatic, Pregnancy"
34628254,8554,dimethyl phthalate,Metabolic
32526583,8554,Dimethyl phthalate,Metabolic
35692072,8554,dimethyl phthalate,Reproductive
34426375,8554,Dimethyl phthalate,Thyroid
36150437,168140,Dimethyl thiophosphate,Reproductive
34481040,62546,dioctyl terephthalate,Metabolic
33628236,62546,Dioctyl terephthalate,Reproductive
33039677,8569,Dioxybenzone,Reproductive
36220473,13282,Diphenyl phosphate,Developmental
32917231,13282,diphenyl phosphate,"Metabolic, Behavioral"
35839669,13282,diphenyl phosphate,Reproductive
34964561,13282,diphenyl phosphate,Reproductive
33817408,13282,diphenyl phosphate,Reproductive
24795899,13282,diphenyl phosphate,Reproductive
34015666,13282,diphenyl phosphate,Thyroid
33113466,13282,diphenyl phosphate,"Thyroid, Genetic"
34697989,13282,diphenyl phthalate,"Cell damage, Reproductive"
35171999,522325,Dipyrone,Pregnancy
35609006,78994,"dodecafluoro-1,6-diiodohexane",Neurological
35051067,3224,endosulfan,"Genetic, Cancer"
25486513,3224,endosulfan,Reproductive
11518620,53481793,endotoxin,Reproductive
35014926,115089,enterodiol,Cancer
34182286,3317081,epoxiconazole,Developmental
35436446,3317081,Epoxiconazole,"Hepatic, Genetic"
35163327,807,eranol,"Reproductive,Tumors"
33435542,20796,Ethane Dimethane Sulfonate,Reproductive
35581467,8434,ethyl paraben,Cancer
33152652,8434,ethyl paraben,Metabolic
32019002,8434,ethyl paraben,Metabolic
32360183,8434,ethyl paraben,Reproductive
33477047,8434,ethyl-paraben,Reproductive
36356884,129689629,ethylene-bis-dithiocarbamate,Reproductive
32679395,30541,Ethylhexyl dimethyl PABA,Reproductive
32679395,5355130 ,Ethylhexyl methoxycinnamate,Reproductive
35690089,8434,ethylparaben,Cardio-vascular
36277366,8434,ethylparaben,Cell damage
33014082,8434,ethylparaben,Metabolic
34101200,8434,ethylparaben,Pregnancy
32806428,8434,ethylparaben,Reproductive
32585503,8434,ethylparaben,Skeletal
32521303,8434,ethylparaben,"Thyroid, Developmental"
33484789,213031,Fenhexamid,Cancer
35780843,213031,fenhexamid,Cancer
35951760,31200,Fenitrothion,Reproductive
20563929,3347,fenvalerate,Reproductive
34438272,3352,fipronil,Immune
22447239,3352,fipronil,Thyroid
18977275,3352,Fipronil,Thyroid
32444626,42948,"2,2',4,4',5,5'-Hexachlorobiphenyl",Reproductive
35622681,71316600,Firemaster 550,Cognitive-Behavioral
35526706,71316600,Firemaster 550,"Neurological, Cognitive-Behavioral"
32272586,71316600,Firemaster 550,Skeletal
33771252,91766,Flufenoxuron,Reproductive
34142587,6033664,Flumethrin,Cancer
34997324,6853,Fluorene,Cardio-vascular
35987080,76716,Fluorene-9-bisphenol,Reproductive
33902598,91677,Fluorochloridone,Cell damage
26391064,3386,fluoxetine,Cognitive-Behavioral
18929547,3386,fluoxetine,Reproductive
36198363,3386,fluoxetine,Reproductive
33032228,3386,flusilazole,Reproductive
35878261,47936,Forskolin,Pregnancy
32174189,8029,furan,Reproductive
35041916,5280961,Genistein,Digestive
33221288,5280961,genistein,"Genetic, Metabolic, Cognitive-Behavioral"
16214947,5280961,genistein,Reproductive
34942354,5280961,genistein,Reproductive
32827888,5280961,genistein,Reproductive
32533902,5280961,genistein,"Reproductive, Immune"
34357343,5280961,Genistein,"Reproductive, Metabolic"
35648594,4510,Glyceryl trinitrate,Reproductive
35457321,3496,glyphosate,Cancer
36379430,3496,Glyphosate,Cancer
35158254,3496,Glyphosate,Cell damage
34813928,3496,glyphosate,"Genetic, Reproductive"
24930125,3496,glyphosate,"Genetic, Reproductive"
35377194,3496,Glyphosate,Genomic
34339697,3496,glyphosate,Pregnancy
33812205,3496,glyphosate,Reproductive
32315717,3496,Glyphosate,Reproductive
35963408,3496,Glyphosate,"Respiratory, Immune"
33283869,3503,Gossypol,Neurological
3745012,227456,gossypol acetate,Reproductive
34051689,3589,heptachlor,Cancer
34051689,13930,heptachlor epoxide,Cancer
34875267,6905,hexabromobenzene,Metabolic
32526215,6905,hexachlorobenzene,Cancer
33059283,6905,Hexachlorobenzene,Metabolic
33002787,6905,hexachlorobenzene,Reproductive
36060944,6905,hexachlorobenzene,Reproductive
35181438,6905,hexachlorobenzene,Reproductive
34374107,6905,hexachlorobenzene,Reproductive
33108645,6905,Hexachlorobenzene,"Thyroid, Reproductive"
33440917,727,hexachlorocyclohexane,Metabolic
33002787,727,hexachlorocyclohexane,Reproductive
6420937,2123,hexamethylmelamine,Metabolic
32679048,29131,hexavalent chromium,Reproductive
34688002,37888330,hexaconazole,Metabolic
36410587,37175,imazalil,"Reproductive, Genetic"
35457321,86287518,imidacloprid,Cancer
35191592,86287518,imidacloprid,Reproductive
34453833,5240,Iodoacetic acid,Reproductive
35725088,5240,Iodoacetic acid,Reproductive
35470848,5240,iodoacetic acid,Reproductive
34060014,37517,Iprodione,Reproductive
35648594,27661,isosorbide mononitrate,Reproductive
35628239,3823,ketoconazole,Cell damage
36374910,3823,Ketoconazole,Reproductive
32199167,23926,Lanthanum,Thyroid
35014224,472398550,Lavender Oil,Reproductive
36472806,5352425,lead,Cancer
33779718,5352425,Lead,Cognitive-Behavioral
9490329,5352425,lead,Developmental
9652547,5352425,lead,Developmental
33691159,5352425,lead,Hepatic
35104782,5352425,lead,Hepatic
33691221,5352425,lead,Metabolic
33321388,5352425,Lead,Pregnancy
35038334,5352425,Lead,Reproductive
35926607,5352425,lead,Reproductive
32004626,5352425,Lead,Reproductive
33223335,5352425,lead,Thyroid
35418943,3902,letrozole,Reproductive
32739526,727,lindane,Reproductive
32739526,727,lindane,Reproductive
36410587,9502,linuron,"Reproductive, Genetic"
3092989,3028194,lithium,Reproductive
31994228,433294,lithium chloride,"Thyroid, Methabolic, Neurological"
34498184,53788342,maize oil,Reproductive
32446389,13307026,Mancozeb,Pregnancy
21266532,13307026,mancozeb,Thyroid
33321388,23930,Manganese,Pregnancy
31711775,23930,manganese,Reproductive
21558144,23931,mercury,"Inflammation, Genetic"
36088992,23931,mercury,Metabolic
34314978,23931,Mercury,Metabolic
33249372,23931,mercury,Metabolic
33367618,23931,mercury,Reproductive
35932513,NA,mesquite pod extract,Reproductive
36277366,4115,methoxychlor,Cell damage
32739526,4115,methoxychlor,Reproductive
33013709,4115,Methoxychlor,Reproductive
35174924,7456,methyl paraben,Cancer
35581467,7456,methyl paraben,Cancer
35508231,7456,methyl paraben,Developmental
32019002,7456,methyl paraben,Metabolic
33014082,7456,methyl paraben,Metabolic
32042059,7456,methyl paraben,"Metabolic, Pregnancy"
32585503,7456,methyl paraben,Skeletal
35131586,15413,Methyl tert-butyl ether,Reproductive
32106432,6860,methylmercury,Thyroid
35975911,7456,Methylparaben,Cancer
34952328,7456,Methylparaben,Cardio-vascular
36277366,7456,methylparaben,Cell damage
33683593,7456,Methylparaben,Developmental
34606965,7456,Methylparaben,Immune
33477047,7456,methylparaben,Reproductive
33069703,7456,methylparaben,Reproductive
33358972,7456,methylparaben,"Reproductive, Cell damage"
32283359,7456,Methylparaben,"Thyroid, Birth defect, Cognitive"
35628239,4189,miconazole,Cell damage
9021355,55245,mifepristone,Reproductive
1331167,55245,mifepristone,Reproductive
33239073,23932,Molybdenum,Reproductive
34792101,8343,di(2-ethylhexyl) phthalate,Cell damage
33161305,8343,di(2-ethylhexyl) phthalate,Cell damage
35143864,8343,di(2-ethylhexyl) phthalate,Hepatic
35511700,6782,diisobutyl phthalate,Skeletal
34425642,3026,di-n-butyl phthalate,Metabolic
35511700,3026,di-n-butyl phthalate,Skeletal
34425642,220773,dibenzyl phthalate,Metabolic
33921744,3026,dibutyl phthalate,Thyroid
33249040,8343,diethylhexyl phthalate,Reproductive
34284018,22286931,N-methyl perfluorooctane sulfonamido acetic acid,Pregnancy
34997324,931,Naphthalene,Cardio-vascular
35700788,931,naphthalene,Metabolic
35895514,931,Naphthalene,Reproductive
36088992,935,nickel,Metabolic
33321388,935,Nickel,Pregnancy
32901497,935,nickel,Reproductive
29486207,89594,nicotine,Pregnancy
34740714,89594,Nicotine,"Digestive, Neurological"
17322582,89594,nicotine,Reproductive
32512292,1752,nonylphenol,Respiratory
34974051,1752,Nonylphenol,Cancer
34746152,1752,Nonylphenol,Cancer
36074022,1752,Nonylphenol,Cancer
33396729,1752,Nonylphenol,Cell damage
33836420,1752,Nonylphenol,Cell damage
35782637,1752,nonylphenol,Cell damage
34102488,1752,nonylphenol,"Cognitive-Behavioral, Neurological"
34046258,1752,nonylphenol,"Cognitive-Behavioral, Neurological"
33906686,1752,Nonylphenol,Hepatic
34282716,1752,nonylphenol,Hepatic
35803419,1752,nonylphenol,"Hepatic, Cell damage"
35998786,1752,nonylphenol,Inflammation
35777343,1752,Nonylphenol,Metabolic
35355194,1752,Nonylphenol,Neurological
35274207,1752,nonylphenol,Pregnancy
31835084,1752,nonylphenol,Reproductive
35439602,1752,Nonylphenol,Reproductive
33848019,1752,nonylphenol,Reproductive
34995913,1752,nonylphenol,Reproductive
9798737,1752,nonylphenol,Reproductive
32815738,1752,nonylphenol,"Reproductive, Cell damage"
34464681,1752,nonylphenol,Thyroid
34884750,11169,Octamethylcyclotetrasiloxane,"Neurological, Cell Damage, Cognitive-Behavioral"
32082254,11044481,Octyl Methoxy Cinnamate,"Thyroid, Immune"
33789217,11044481,octylmethoxycinnamate,Cardio-vascular
33530401,11044481,Octylmethoxycinnamate,Cardio-vascular
36277366,13700,octylphenol,Cell damage
33207735,727,Œ≤-hexachlorocyclohexane,Cell damage
32213410,139103197,organotin,"Reproductive, Metabolic, Pregnancy"
918353,971,oxalic acid,"Reproductive, Developmental"
35669359,4632,oxybenzone,Reproductive
35803990,33772,Oxychlordane,Hepatic
35934697,17760989,oxypyrimidine,Cardio-vascular
33440917,3035,"p,p'-dichloro-diphenyl-dichloroethylene",Metabolic
32409013,3035,"p,p'-dichlorodiphenyldichloroethylene",Digestive
32559636,3035,"p,p'-dichlorodiphenyldichloroethylene",Reproductive
34051689,3035,"p,p'-Dichlorodiphenyltrichloroethane",Cancer
33002787,3035,"p,p'-dichlorodiphenyltrichloroethane",Reproductive
35934697,980,para-nitrophenol,Cardio-vascular
36253940,1983,Paracetamol,Reproductive
17593412,4685,paradichlorobenzene,Reproductive
34601176,6800,pentabromoethylbenzene,Thyroid
34173948,992,pentachlorophenol,Cancer
35364152,992,Pentachlorophenol,Metabolic
19082768,992,pentachlorophenol,Thyroid
36085159,9555,perfluoro-n-decanoic acid,Cancer
35813651,9554,perfluoro-octanoic acid,Thyroid
32474218,23678450,Perfluorobutane sulfonate,"Adrenal, Reproductive"
32717645,67815,perfluorobutanesulfonic acid,"Pregnancy, Metabolic"
33740056,21895380,perfluorodecanoate sulfonate,Metabolic
33068574,9555,Perfluorodecanoic acid,Cancer
34293563,9555,perfluorodecanoic acid,Cancer
34284018,9555,perfluorodecanoic acid,Pregnancy
32069767,9555,perfluorodecanoic acid,Reproductive
35318009,9555,perfluorodecanoic acid,Reproductive
36061407,9555,Perfluorodecanoic acid,Reproductive
34818773,9555,perfluorodecanoic acid,Reproductive
35914335,9555,perfluorodecanoic acid,Skeletal
32368952,9555,perfluorodecanoic acid,Thyroid
35074350,9555,perfluorodecanoic acid ,Metabolic
34293563,67545,perfluorododecanoic acid,Cancer
35217143,67545,perfluorododecanoic acid,Genetic
32717645,67545,perfluorododecanoic acid,"Pregnancy, Metabolic"
32474218,67734,perfluorohexane sulfonate,"Adrenal, Reproductive"
33068574,67734,Perfluorohexane sulfonate,Cancer
33740056,67734,perfluorohexane sulfonate,Metabolic
33387635,67734,perfluorohexane sulfonate,Metabolic
32319790,67734,perfluorohexane sulfonate,Pregnancy
36061407,67734,Perfluorohexane sulfonate,Reproductive
34460931,67734,Perfluorohexane Sulfonate,Thyroid
21310403,67734,perfluorohexane sulfonate,Thyroid
32060323,67734,perfluorohexane sulfonate,Thyroid
33736417,67734,Perfluorohexane sulfonate,"Thyroid, Immune"
34284018,67734,perfluorohexane sulfonic acid,Pregnancy
32069767,67734,Perfluorohexane sulfonic acid,Reproductive
34391986,67734,perfluorohexane sulfonic acid,Reproductive
35318009,67734,perfluorohexane sulfonic acid,Reproductive
35914335,67734,perfluorohexane sulfonic acid,Skeletal
32368952,67734,perfluorohexane sulfonic acid,Thyroid
33208860,67734,perfluorohexanesulfonic acid,Developmental
36137419,67734,perfluorohexanesulfonic acid,Pregnancy
34293563,67542,Perfluorohexanoic acid,Cancer
35292812,3781988,perfluorononanoate,Reproductive
33740056,3781988,perfluorononanoate sulfonate,Metabolic
35074350,67821,perfluorononanoic acid,Metabolic
36137419,67821,perfluorononanoic acid,Pregnancy
32069767,67821,perfluorononanoic acid,Reproductive
36061407,67821,Perfluorononanoic acid,Reproductive
34818773,67821,perfluorononanoic acid,Reproductive
35914335,67821,perfluorononanoic acid,Skeletal
33316920,67821,perfluorononanoic acid,Thyroid
32474218,74483,perfluorooctane sulfonate,"Adrenal, Reproductive"
34732098,74483,Perfluorooctane sulfonate,Cancer
36006114,74483,Perfluorooctane Sulfonate,Cell damage
20136073,74483,Perfluorooctane sulfonate,"Genetic, Neurological"
33740056,74483,perfluorooctane sulfonate,Metabolic
35292812,74483,perfluorooctane sulfonate,Reproductive
35511700,74483,perfluorooctane sulfonate,Skeletal
21310403,74483,perfluorooctane sulfonate,Thyroid
33068574,74483,Perfluorooctane sulfonic acid,Cancer
33631604,74483,perfluorooctane sulfonic acid,Cardio-vascular
32409013,74483,Perfluorooctane sulfonic acid,Digestive
32436946,74483,perfluorooctane sulfonic acid,Pregnancy
34284018,74483,perfluorooctane sulfonic acid,Pregnancy
32069767,74483,perfluorooctane sulfonic acid,Reproductive
32491182,74483,perfluorooctane sulfonic acid,Reproductive
36061407,74483,Perfluorooctane sulfonic acid,Reproductive
35914335,74483,perfluorooctane sulfonic acid,Skeletal
32368952,74483,perfluorooctane sulfonic acid,Thyroid
32621861,74483,Perfluorooctane sulfonic acid,Thyroid
25449418,74483,perfluorooctane sulfuric acid,"Pregnancy, Developmental"
35280584,74483,Perfluorooctane sulphonate,Reproductive
32348926,74483,perfluorooctanesulfonic acid,Cell damage
33208860,74483,perfluorooctanesulfonic acid,Developmental
35460815,74483,Perfluorooctanesulfonic acid,Genetic
36113621,74483,perfluorooctanesulfonic acid,Immune
35457000,74483,perfluorooctanesulfonic acid,Metabolic
36289510,74483,perfluorooctanesulfonic acid,Metabolic
34391986,74483,perfluorooctanesulfonic acid,Reproductive
36060944,74483,perfluorooctanesulfonic acid,Reproductive
33316920,74483,perfluorooctanesulfonic acid,Thyroid
35292812,4986139,perfluorooctanoate,Reproductive
35511700,4986139,perfluorooctanoate,Skeletal
21310403,4986139,perfluorooctanoate acid,Thyroid
32474218,9554,perfluorooctanoic acid,"Adrenal, Reproductive"
36085159,9554,Perfluorooctanoic acid,Cancer
33068574,9554,Perfluorooctanoic acid,Cancer
35887249,9554,Perfluorooctanoic acid,Cancer
35952751,9554,perfluorooctanoic acid,"Cardio-vascular, Metabolic"
32348926,9554,Perfluorooctanoic acid,Cell damage
36336871,9554,perfluorooctanoic acid,Cell damage
36105436,9554,perfluorooctanoic acid,Cognitive-Behavioral
33208860,9554,perfluorooctanoic acid,Developmental
32409013,9554,perfluorooctanoic acid,Digestive
35217143,9554,perfluorooctanoic acid,Genetic
36214631,9554,Perfluorooctanoic acid,"Genetic, Reproductive"
35438966,9554,Perfluorooctanoic Acid,"Genetic, Reproductive"
36115532,9554,perfluorooctanoic acid,Hepatic
32892005,9554,perfluorooctanoic acid,Metabolic
36289510,9554,perfluorooctanoic acid,Metabolic
35074350,9554,perfluorooctanoic acid,Metabolic
32319790,9554,perfluorooctanoic Acid,Pregnancy
35427876,9554,Perfluorooctanoic acid,"Pregnancy, Cell damage"
32069767,9554,perfluorooctanoic acid,Reproductive
32491182,9554,perfluorooctanoic acid,Reproductive
35318009,9554,Perfluorooctanoic acid,Reproductive
36061407,9554,Perfluorooctanoic acid,Reproductive
34774353,9554,perfluorooctanoic acid,Reproductive
33871176,9554,Perfluorooctanoic acid,"Reproductive, Genetic"
35163327,9554,perfluorooctanoic acid,"Reproductive,Tumors"
35914335,9554,perfluorooctanoic acid,Skeletal
32368952,9554,perfluorooctanoic acid,Thyroid
33736417,9554,Perfluorooctanoic Acid,"Thyroid, Immune"
34284018,9554,perfluoropentanoic acid,Pregnancy
36137419,77222,perfluoroundecanoic acid,Pregnancy
34818773,77222,perfluoroundecanoic acid,Reproductive
34454360,9555,perfluorodecanoic acid,Pregnancy
35434465,40326,permethrin,Metabolic
35700788,995,phenanthrene,Metabolic
36440232,995,Phenanthrene,Reproductive
35895514,995,phenanthrene,Reproductive
34090074,995,phenanthrene,Reproductive
32474218,22568738,polyfluorinated ether sulfonate,"Adrenal, Reproductive"
36174316,3016060,Polystyrene,Reproductive
34055310,3016060,polystyrene,Thyroid
33423197,24502,potassium dichromate,"Thyroid, Cell Damage, Genetic"
16214947,36242,procymidone,Reproductive
34902777,36242,procymidone,"Reproductive, Genetic"
34688002,43234,propiconazole,Metabolic
35581467,7175,Propyl paraben,Cancer
32019002,7175,propyl paraben,Metabolic
32325494,7175,propyl paraben,Reproductive
31939680,7175,propylparaben,Cancer
35975911,7175,propylparaben,Cancer
35690089,7175,propylparaben,Cardio-vascular
33227247,7175,propylparaben,Cardio-vascular
36277366,7175,propylparaben,Cell damage
32795877,7175,propylparaben,Cognitive-Behavioral
33683593,7175,propylparaben,Developmental
33014082,7175,propylparaben,Metabolic
32042059,7175,propylparaben,"Metabolic, Pregnancy"
34101200,7175,propylparaben,Pregnancy
33477047,7175,propylparaben,Reproductive
33957517,7175,propylparaben,Reproductive
34365652,7175,Propylparaben,Reproductive
33724348,7175,Propylparaben,Reproductive
35325608,7175,propylparaben,Reproductive
31306770,7175,Propylparaben,Reproductive
33358972,7175,propylparaben,"Reproductive, Cell damage"
32585503,7175,propylparaben,Skeletal
32521303,7175,propylparaben,Thyroid
36332113,6451142,Prothioconazole,Reproductive
34997324,31423,Pyrene,Metabolic
35700788,31423,pyrene,Metabolic
36356884,162381,pyrethroids,Reproductive
11855907,445154,Resveratrol,Reproductive
34345844,446157,rosuvastatin,Reproductive
31699096,24261,Silicon dioxide,Metabolic
23762632,5216,simazine,Cancer
7932848,5216,simazine,Reproductive
29593849,517055,sodium benzoate,Reproductive
33980773,101233334,sodium p-perfluorous nonenoxybenzene sulfonate,"Reproductive, Metabolic"
32957897,16760703,sodium valproate,"Adrenal, Cogntitive-Behavioral"
35963426,5281708,soy isoflavone,Reproductive
36017706,5281708,soy isoflavone,Thyroid
32368225,5281708,soy isoflavones,Reproductive
33359182,5833,spironolactone,"Metabolic, Reproductive"
36285149,7501,Styrene,Reproductive
34498184,472397940,Sunflower oil,Reproductive
36012044,164825,tartrazine,Reproductive
34688002,86102,tebuconazole,Metabolic
33049508,86102,Tebuconazole,Reproductive
34382084,5392,Temephos,Reproductive
35321852,6618,Tetrabromobisphenol A,Cardio-vascular
36136495,6618,Tetrabromobisphenol a,Cardio-vascular
31927367,6618,tetrabromobisphenol A,Cell damage
34781130,6618,tetrabromobisphenol A,Pregnancy
35802331,6618,tetrabromobisphenol A,Thyroid
31129411,20472541,tetrabromoethylcyclohexane,Neurological
33582643,6619,tetrachlorobisphenol A,Cancer
35914601,6619,Tetrachlorobisphenol A,Reproductive
33254397,6619,Tetrachlorobisphenol A,"Reproductive, Immune"
32527427,8305,tetradifon,Metabolic
33866271,21258697,tetramethyl bisphenol F,Cell damage
34141841,21258697,tetramethyl bisphenol F,Cell damage
34069744,21258697,tetramethyl bisphenol F,Metabolic
34684681,21258697,tetramethyl bisphenol F,Skeletal
34181816,5821911,Thiamethoxam,"Metabolic, Cell damage, Reproductive"
34314978,5352426,tin,Metabolic
35588816,23687327,Tolyltriazole,Reproductive
33822518,656612,Transfluthrin,Cell damage
35089383,18725,tri-(2-ethylhexyl) trimellitate,Reproductive
33049558,31357,tri-n-butyl phosphate,Cancer
32234386,6527,tri-o-cresyl phosphate,Cancer
34508824,39385,Triadimefon,Adrenal
862425,6436,triamcinolone acetonide,Reproductive
33962613,3032732,Tributyltin,Cardio-vascular
36073672,3032732,tributyltin,"Cognitive-Behavioral, Neurological"
15603928,3032732,tributyltin,Genetic
34455191,3032732,tributyltin,Metabolic
36382567,3032732,tributyltin,Cell damage
34207679,3032732,tributyltin,Neurological
32239163,3032732,Tributyltin,Reproductive
32783468,3032732,Tributyltin,Reproductive
35430282,3032732,Tributyltin,Reproductive
36319700,3032732,tributyltin,"Reproductive, Cardio-vascular"
35690288,3032732,tributyltin,Thyroid
35077874,3032732,tributyltin,Thyroid
34902535,15096,Tributyltin chloride,"Cardio-vascular, Reproductive, Metabolic"
35096073,7547,Triclocarban,"Metabolic, Cardio-vascular"
32739526,7547,triclocarban,Reproductive
32739526,7547,triclocarban,Reproductive
36049513,5564,triclosan,Developmental
34160118,5564,Triclosan,Cell damage
36277366,5564,triclosan,Cell damage
36274318,5564,triclosan,Cognitive-Behavioral
32201332,5564,triclosan,Cognitive-Behavioral
32503345,5564,Triclosan,"Cognitive-Behavioral, Neurological"
34736200,5564,triclosan,"Cognitive-Behavioral, Neurological"
33959150,5564,Triclosan,Genetic
36182156,5564,Triclosan,Metabolic
33611912,5564,Triclosan,Metabolic
33097990,5564,Triclosan,Pregnancy
36227336,5564,Triclosan,"Pregnancy, Metabolic"
32084696,5564,triclosan,Reproductive
32739526,5564,triclosan,Reproductive
32739526,5564,triclosan,Reproductive
34166923,5564,Triclosan,Reproductive
33161203,5564,triclosan,Reproductive
36212563,5564,triclosan,Reproductive
32328937,5564,Triclosan,Reproductive
32053938,5564,Triclosan,Reproductive
35480573,5564,Triclosan,Reproductive
35970220,5564,triclosan,"Reproductive, Developmental"
34721297,5564,Triclosan,"Reproductive, Developmental"
31237619,5564,Triclosan,Skeletal
34460931,5564,Triclosan,Thyroid
32653713,5564,triclosan,"Thyroid, Behavioral"
33529899,6529,tricrecyl phosphate,Metabolic
34225124,6529,tricresyl phosphate,Metabolic
35609006,67733,tridecafluorohexyl iodide,Neurological
32278140,6535,triethyl phosphate,Cancer
33628236,6960,Trioctyl trimellitate,Reproductive
32278140,8289,triphenyl phosphate,Cancer
33049558,8289,triphenyl phosphate,Cancer
33529899,8289,triphenyl phosphate,Metabolic
34890987,8289,triphenyl phosphate,Reproductive
15603928,5357402,triphenyltin,Genetic
32504733,12540,Triphenyltin chloride,Adrenal
17619067,6327657,triphenyltin hydroxide,"Pregnancy, Developmental"
22447140,107985,Triptolide,Reproductive
35780845,6455455,Tris (2-chloroethyl) phosphate,Metabolic
34481040,18725,tris (2-ethylhexyl) trimellitate,Metabolic
32278140,76961998,tris (methylphenyl) phosphate,Cancer
33049558,76961998,tris (methylphenyl) phosphate,Cancer
32678732,26177,"tris(1,3-dichloro-2-propyl) phosphate",Reproductive
34890987,26177,"tris(1,3-dichloro-2-propyl) phosphate",Reproductive
34388063,26177,"Tris(1,3-dichloro-2-propyl)phosphate",Respiratory
33529899,26177,"Tris(1,3-dichloro-2-propyl)phosphate",Metabolic
32678732,6540,tris(2-butoxyethyl) phosphate,Reproductive
33529899,8295,tris(2-chloroethyl) phosphate,Metabolic
32278140,26176,tris(2-chloroisopropyl) phosphate,Cancer
35839669,26176,tris(2-chloroisopropyl) phosphate,Reproductive
33529899,22522,tris(2-chloropropyl) phosphate,Metabolic
32278140,6537,tris(2-ethylhexyl) phosphate,Cancer
32004960,93118,Tris(4-hydroxyphenyl)ethane,Reproductive
36235091,6537961,Triticonazole,"Cardio-vascular, Cell damage"
33032228,6537961,triticonazole,Reproductive
36084822,6537961,triticonazole,Reproductive
35955476,23989,Uranium,"Reproductive, Genetic"
35051072,39676,vinclozolin,Cognitive-Behavioral
33928200,39676,vinclozolin,"Genetic, Neurological, Cognitive-behavioral"
33434571,39676,vinclozolin,Hepatic
36084878,39676,vinclozolin,Immune
32692847,39676,vinclozolin,"Neurological, Cognitive-Behavioral"
35595151,39676,vinclozolin,Reproductive
32827888,39676,vinclozolin,Reproductive
32888615,39676,vinclozolin,Reproductive
33093579,39676,vinclozolin,Reproductive
36232623,39676,Vinclozolin,Respiratory
36374910,5281576,zearalenone,Reproductive
26248220,5281576,Zearalenone,Reproductive
33239073,23994,zinc,Reproductive